opcode_1,opcode_2
ASSIGN_OBJ_OP,RETURN
ASSIGN_OBJ_OP,SEND_VAL_EX
ASSIGN_OBJ_REF,OP_DATA
ASSIGN_OP,ADD
ASSIGN_OP,ASSERT_CHECK
ASSIGN_OP,ASSIGN
ASSIGN_OP,ASSIGN_DIM
ASSIGN_OP,ASSIGN_DIM_OP
ASSIGN_OP,ASSIGN_OBJ
ASSIGN_OP,ASSIGN_OBJ_OP
ASSIGN_OP,ASSIGN_OP
ASSIGN_OP,ASSIGN_REF
ASSIGN_OP,BEGIN_SILENCE
ASSIGN_OP,BIND_GLOBAL
ASSIGN_OP,BOOL
ASSIGN_OP,BOOL_NOT
ASSIGN_OP,BW_AND
ASSIGN_OP,BW_NOT
ASSIGN_OP,BW_OR
ASSIGN_OP,BW_XOR
ASSIGN_OP,CAST
ASSIGN_OP,CHECK_FUNC_ARG
ASSIGN_OP,CLONE
ASSIGN_OP,CONCAT
ASSIGN_OP,COUNT
ASSIGN_OP,DIV
ASSIGN_OP,DO_FCALL
ASSIGN_OP,ECHO
ASSIGN_OP,END_SILENCE
ASSIGN_OP,FETCH_CLASS
ASSIGN_OP,FETCH_CONSTANT
ASSIGN_OP,FETCH_DIM_IS
ASSIGN_OP,FETCH_DIM_R
ASSIGN_OP,FETCH_DIM_UNSET
ASSIGN_OP,FETCH_DIM_W
ASSIGN_OP,FETCH_IS
ASSIGN_OP,FETCH_OBJ_IS
ASSIGN_OP,FETCH_OBJ_R
ASSIGN_OP,FETCH_OBJ_RW
ASSIGN_OP,FETCH_OBJ_UNSET
ASSIGN_OP,FETCH_OBJ_W
ASSIGN_OP,FETCH_R
ASSIGN_OP,FETCH_RW
ASSIGN_OP,FETCH_THIS
ASSIGN_OP,FETCH_W
ASSIGN_OP,FE_FREE
ASSIGN_OP,FE_RESET_R
ASSIGN_OP,FREE
ASSIGN_OP,GET_CLASS
ASSIGN_OP,INCLUDE_OR_EVAL
ASSIGN_OP,INIT_ARRAY
ASSIGN_OP,INIT_FCALL
ASSIGN_OP,INSTANCEOF
ASSIGN_OP,IN_ARRAY
ASSIGN_OP,IS_EQUAL
ASSIGN_OP,IS_IDENTICAL
ASSIGN_OP,IS_NOT_EQUAL
ASSIGN_OP,IS_SMALLER
ASSIGN_OP,JMP
ASSIGN_OP,JMPNZ
ASSIGN_OP,JMPNZ_EX
ASSIGN_OP,JMPZ
ASSIGN_OP,JMPZ_EX
ASSIGN_OP,JMP_FRAMELESS
ASSIGN_OP,MOD
ASSIGN_OP,MUL
ASSIGN_OP,NEW
ASSIGN_OP,NOP
ASSIGN_OP,OP_DATA
ASSIGN_OP,POST_DEC
ASSIGN_OP,POST_INC
ASSIGN_OP,PRE_DEC
ASSIGN_OP,PRE_DEC_OBJ
ASSIGN_OP,PRE_INC
ASSIGN_OP,PRE_INC_OBJ
ASSIGN_OP,QM_ASSIGN
ASSIGN_OP,RETURN
ASSIGN_OP,ROPE_INIT
ASSIGN_OP,SEND_VAL
ASSIGN_OP,SEND_VAL_EX
ASSIGN_OP,SEND_VAR
ASSIGN_OP,SEND_VAR_EX
ASSIGN_OP,SL
ASSIGN_OP,SR
ASSIGN_OP,STRLEN
ASSIGN_OP,SUB
ASSIGN_OP,SWITCH_LONG
ASSIGN_OP,SWITCH_STRING
ASSIGN_OP,TYPE_CHECK
ASSIGN_OP,UNSET_CV
ASSIGN_OP,UNSET_DIM
ASSIGN_OP,UNSET_OBJ
ASSIGN_REF,ASSIGN
ASSIGN_REF,ASSIGN_DIM
ASSIGN_REF,ASSIGN_OBJ
ASSIGN_REF,ASSIGN_OP
ASSIGN_REF,ASSIGN_REF
ASSIGN_REF,BEGIN_SILENCE
ASSIGN_REF,BIND_GLOBAL
ASSIGN_REF,BIND_LEXICAL
ASSIGN_REF,BOOL_NOT
ASSIGN_REF,CAST
ASSIGN_REF,CHECK_FUNC_ARG
ASSIGN_REF,CONCAT
ASSIGN_REF,COUNT
ASSIGN_REF,DO_FCALL
ASSIGN_REF,FETCH_CONSTANT
ASSIGN_REF,FETCH_DIM_R
ASSIGN_REF,FETCH_DIM_W
ASSIGN_REF,FETCH_IS
ASSIGN_REF,FETCH_OBJ_IS
ASSIGN_REF,FETCH_OBJ_R
ASSIGN_REF,FETCH_OBJ_UNSET
ASSIGN_REF,FETCH_OBJ_W
ASSIGN_REF,FETCH_R
ASSIGN_REF,FETCH_THIS
ASSIGN_REF,FETCH_W
ASSIGN_REF,FE_RESET_R
ASSIGN_REF,INCLUDE_OR_EVAL
ASSIGN_REF,INIT_ARRAY
ASSIGN_REF,INIT_FCALL
ASSIGN_REF,IS_EQUAL
ASSIGN_REF,JMP
ASSIGN_REF,JMPNZ
ASSIGN_REF,JMPNZ_EX
ASSIGN_REF,JMPZ
ASSIGN_REF,JMPZ_EX
ASSIGN_REF,JMP_FRAMELESS
ASSIGN_REF,NEW
ASSIGN_REF,OP_DATA
ASSIGN_REF,PRE_INC
ASSIGN_REF,RETURN
ASSIGN_REF,RETURN_BY_REF
ASSIGN_REF,ROPE_INIT
ASSIGN_REF,SEND_VAL_EX
ASSIGN_REF,SEND_VAR
ASSIGN_REF,SEND_VAR_EX
ASSIGN_REF,SR
ASSIGN_REF,STRLEN
ASSIGN_REF,SUB
ASSIGN_REF,SWITCH_LONG
ASSIGN_REF,SWITCH_STRING
ASSIGN_REF,TYPE_CHECK
ASSIGN_REF,UNSET_CV
ASSIGN_REF,UNSET_DIM
BEGIN_SILENCE,ADD
BEGIN_SILENCE,ASSERT_CHECK
BEGIN_SILENCE,ASSIGN
BEGIN_SILENCE,ASSIGN_DIM
BEGIN_SILENCE,ASSIGN_DIM_OP
BEGIN_SILENCE,ASSIGN_OP
BEGIN_SILENCE,BEGIN_SILENCE
BEGIN_SILENCE,BOOL_NOT
BEGIN_SILENCE,CAST
BEGIN_SILENCE,CHECK_FUNC_ARG
BEGIN_SILENCE,CLONE
BEGIN_SILENCE,CONCAT
BEGIN_SILENCE,COUNT
BEGIN_SILENCE,DIV
BEGIN_SILENCE,DO_FCALL
BEGIN_SILENCE,ECHO
BEGIN_SILENCE,END_SILENCE
BEGIN_SILENCE,FETCH_CLASS
BEGIN_SILENCE,FETCH_CONSTANT
BEGIN_SILENCE,FETCH_DIM_IS
BEGIN_SILENCE,FETCH_DIM_R
BEGIN_SILENCE,FETCH_DIM_RW
BEGIN_SILENCE,FETCH_DIM_W
BEGIN_SILENCE,FETCH_IS
BEGIN_SILENCE,FETCH_OBJ_R
BEGIN_SILENCE,FETCH_R
BEGIN_SILENCE,FETCH_THIS
BEGIN_SILENCE,FETCH_W
BEGIN_SILENCE,FUNC_GET_ARGS
BEGIN_SILENCE,INCLUDE_OR_EVAL
BEGIN_SILENCE,INIT_ARRAY
BEGIN_SILENCE,INIT_FCALL
BEGIN_SILENCE,INIT_USER_CALL
BEGIN_SILENCE,IN_ARRAY
BEGIN_SILENCE,IS_NOT_EQUAL
BEGIN_SILENCE,JMPZ
BEGIN_SILENCE,JMP_FRAMELESS
BEGIN_SILENCE,JMP_SET
BEGIN_SILENCE,MUL
BEGIN_SILENCE,NEW
BEGIN_SILENCE,NOP
BEGIN_SILENCE,OP_DATA
BEGIN_SILENCE,POST_INC
BEGIN_SILENCE,PRE_INC
BEGIN_SILENCE,QM_ASSIGN
BEGIN_SILENCE,ROPE_INIT
BEGIN_SILENCE,SEND_VAL_EX
BEGIN_SILENCE,SEND_VAR
BEGIN_SILENCE,SEND_VAR_EX
BEGIN_SILENCE,STRLEN
BEGIN_SILENCE,SUB
BEGIN_SILENCE,TYPE_CHECK
BIND_GLOBAL,ASSIGN
BIND_GLOBAL,ASSIGN_DIM
BIND_GLOBAL,ASSIGN_OBJ
BIND_GLOBAL,ASSIGN_OP
BIND_GLOBAL,BEGIN_SILENCE
BIND_GLOBAL,BIND_GLOBAL
BIND_GLOBAL,BIND_STATIC
BIND_GLOBAL,BOOL
BIND_GLOBAL,BOOL_NOT
BIND_GLOBAL,BW_AND
BIND_GLOBAL,CAST
BIND_GLOBAL,CHECK_FUNC_ARG
BIND_GLOBAL,CONCAT
BIND_GLOBAL,COUNT
BIND_GLOBAL,DECLARE_CLASS
BIND_GLOBAL,DEFINED
BIND_GLOBAL,DO_FCALL
BIND_GLOBAL,ECHO
BIND_GLOBAL,FETCH_CONSTANT
BIND_GLOBAL,FETCH_DIM_IS
BIND_GLOBAL,FETCH_DIM_R
BIND_GLOBAL,FETCH_DIM_UNSET
BIND_GLOBAL,FETCH_DIM_W
BIND_GLOBAL,FETCH_GLOBALS
BIND_GLOBAL,FETCH_IS
BIND_GLOBAL,FETCH_OBJ_IS
BIND_GLOBAL,FETCH_OBJ_R
BIND_GLOBAL,FETCH_OBJ_W
BIND_GLOBAL,FETCH_R
BIND_GLOBAL,FETCH_THIS
