ngram,idf
ASSIGN INIT_ARRAY,4.091285756442166
ASSIGN INIT_FCALL,2.5504201860039686
ASSIGN INIT_USER_CALL,7.910337308526646
ASSIGN INSTANCEOF,5.312174566078039
ASSIGN IN_ARRAY,7.146572560752747
ASSIGN IS_EQUAL,3.4965048125378733
ASSIGN IS_IDENTICAL,4.848543284294562
ASSIGN IS_NOT_EQUAL,4.233727947004525
ASSIGN IS_SMALLER,4.123932834278833
ASSIGN JMP,2.689717839892879
ASSIGN JMPNZ,4.075353396061081
ASSIGN JMPNZ_EX,4.29023297957327
ASSIGN JMPZ,2.9078653250695514
ASSIGN JMPZ_EX,4.098269400189419
ASSIGN JMP_FRAMELESS,4.631812947815066
ASSIGN JMP_SET,7.692083742506628
ASSIGN MOD,5.7461735934513145
ASSIGN MUL,6.078731930751392
ASSIGN MYISAM,10.237615014111064
ASSIGN NEW,3.7325786175690654
ASSIGN NOP,4.573786854961895
ASSIGN OFF,9.139002725442953
ASSIGN OP_DATA,3.7071018842933507
ASSIGN POST_DEC,9.321324282236908
ASSIGN POST_INC,6.771879111311337
ASSIGN POST_INC_OBJ,8.851320652991173
ASSIGN PRE_DEC,6.476414898417501
ASSIGN PRE_DEC_OBJ,10.237615014111064
ASSIGN PRE_INC,4.574654533975117
ASSIGN PRE_INC_OBJ,7.773761773520896
ASSIGN QM_ASSIGN,6.155849234095823
ASSIGN RECV,10.93076219467101
ASSIGN RETURN,3.3201569596675413
ASSIGN RETURN_BY_REF,8.984852045615696
ASSIGN ROPE_INIT,3.6059426717373553
ASSIGN SEND_REF,9.226014102432584
ASSIGN SEND_UNPACK,9.677999226175642
ASSIGN SEND_VAL,6.654096075654953
ASSIGN SEND_VAL_EX,2.67857675866768
ASSIGN SEND_VAR,6.147445823299443
ASSIGN SEND_VAR_EX,2.641599476142376
ASSIGN SL,6.779722288772363
ASSIGN SR,6.711254489494902
ASSIGN STRLEN,4.3418357171374895
ASSIGN SUB,4.681752669531485
